,spot,vol,bs,pv
138,7.0,0.3632258064516129,1.2267440161615908,1.0261004592970129
139,7.0,0.39354838709677414,1.4147603956333612,1.158758996522329
140,7.0,0.42387096774193544,1.603895458732524,1.2860023100734073
141,7.0,0.45419354838709675,1.7931458118373822,1.3960588780271195
142,7.0,0.484516129032258,1.981703007789687,1.477296408051976
143,7.0,0.5148387096774193,2.168905373935231,1.6122730668104153
144,7.0,0.5451612903225806,2.3542041130822517,1.713190799161707
145,7.0,0.5754838709677419,2.5371390893191923,1.8189842661331568
146,7.0,0.6058064516129031,2.717321271462412,1.8466725838191003
147,7.0,0.6361290322580644,2.894419813954235,1.9014801321349557
148,7.0,0.6664516129032259,3.068152409398756,1.9809216857850267
149,7.0,0.6967741935483871,3.2382779767907857,2.025927346614617
150,7.0,0.7270967741935483,3.404591035485101,2.0833273768874876
151,7.0,0.7574193548387096,3.566917307778028,2.107653029000094
152,7.0,0.7877419354838708,3.7251102247376187,2.2254349864495473
153,7.0,0.8180645161290321,3.87904810115025,2.243491281124869
154,7.0,0.8483870967741935,4.028631809427608,2.257276666979169
155,7.0,0.8787096774193548,4.173782827731654,2.2691356630390542
156,7.0,0.909032258064516,4.314441570187355,2.3910369969122325
157,7.0,0.9393548387096773,4.450565930730118,2.3438130132723316
158,7.0,0.9696774193548385,4.582129989501514,2.3539563554790632
159,7.0,1.0,4.7091228435664405,2.403853988549216
160,8.0,0.06,0.003355652119821209,0.003119298424425647
161,8.0,0.09032258064516129,0.044091860729646326,0.040649917246952404
162,8.0,0.12064516129032257,0.14230826655050266,0.13767632408741395
163,8.0,0.15096774193548385,0.2844961279329412,0.285555773556393
164,8.0,0.18129032258064515,0.4553892531441823,0.43294450256148886
165,8.0,0.21161290322580645,0.644598458966358,0.6203213124380857
166,8.0,0.24193548387096772,0.8454978940339375,0.7724659022661566
167,8.0,0.272258064516129,1.0537904207549227,0.9517421081970975
168,8.0,0.3025806451612903,1.2665854376985966,1.1252520656292202
169,8.0,0.3329032258064516,1.4818590439156027,1.297370684784521
170,8.0,0.3632258064516129,1.6981386462252104,1.4154357485113647
171,8.0,0.39354838709677414,1.9143145777968358,1.5810508769505192
172,8.0,0.42387096774193544,2.1295243507687025,1.6773352999173126
173,8.0,0.45419354838709675,2.343079469655585,1.8372491316455941
174,8.0,0.484516129032258,2.5544178863741784,1.874695033995168
175,8.0,0.5148387096774193,2.7630723335404097,2.05038932617824
176,8.0,0.5451612903225806,2.968648746006222,2.0930478037551636
177,8.0,0.5754838709677419,3.1708112436712423,2.1906612312499725
178,8.0,0.6058064516129031,3.369271472070616,2.2592033493819157
179,8.0,0.6361290322580644,3.5637808913925078,2.313058685046827
180,8.0,0.6664516129032259,3.754125092882602,2.346806364074104
181,8.0,0.6967741935483871,3.9401195287750594,2.448298141984707
182,8.0,0.7270967741935483,4.121606239284954,2.5041625572617368
183,8.0,0.7574193548387096,4.298451289575549,2.5197292463056264
184,8.0,0.7877419354838708,4.470542715983401,2.595186972256392
185,8.0,0.8180645161290321,4.63778883943565,2.6193326219830984
186,8.0,0.8483870967741935,4.800116844460209,2.6543695656913724
187,8.0,0.8787096774193548,4.957471550525171,2.6896047359706436
188,8.0,0.909032258064516,5.109814322559056,2.709998310667844
189,8.0,0.9393548387096773,5.257122081965461,2.822652310630063
190,8.0,0.9696774193548385,5.399386389964406,2.8179552283369134
191,8.0,1.0,5.536612582823926,2.7590225142464706
192,9.0,0.06,0.03663812248527121,0.03895337351078095
193,9.0,0.09032258064516129,0.1623384135073389,0.16359002237315967
194,9.0,0.12064516129032257,0.34476501916068214,0.34078384365039743
195,9.0,0.15096774193548385,0.5564878292303628,0.5401741282161657
196,9.0,0.18129032258064515,0.7838474408376221,0.7564062220757235
197,9.0,0.21161290322580645,1.0198031383517816,0.9397231440063332
198,9.0,0.24193548387096772,1.2603929516283254,1.1914840455417575
199,9.0,0.272258064516129,1.5031893614070042,1.3611515590540821
200,9.0,0.3025806451612903,1.7465891472700497,1.5826225434763632
201,9.0,0.3329032258064516,1.9894628287121345,1.7273556906579357
202,9.0,0.3632258064516129,2.2309699291256275,1.8933460280417629
203,9.0,0.39354838709677414,2.4704559914722726,1.9878947772458213
204,9.0,0.42387096774193544,2.70739236465499,2.126902314930576
205,9.0,0.45419354838709675,2.9413395455816227,2.2356892803800172
206,9.0,0.484516129032258,3.171924078566186,2.3668133733414636
207,9.0,0.5148387096774193,3.3988235572375594,2.385723277249474
208,9.0,0.5451612903225806,3.6217566270572226,2.6033901927962266
209,9.0,0.5754838709677419,3.840476159220077,2.5866263527751006
210,9.0,0.6058064516129031,4.054764482108064,2.651874473447162
211,9.0,0.6361290322580644,4.264429972619,2.7490452873518088
212,9.0,0.6664516129032259,4.4693045593096405,2.8017002894216096
213,9.0,0.6967741935483871,4.669241843209471,2.8641030070087043
214,9.0,0.7270967741935483,4.864115639476129,2.9077366680611183
215,9.0,0.7574193548387096,5.053818806012485,2.9414703443954795
216,9.0,0.7877419354838708,5.238262266748044,3.0726990533607723
217,9.0,0.8180645161290321,5.417374165292014,3.10797486907337
218,9.0,0.8483870967741935,5.5910991038660764,3.0783565938659563
219,9.0,0.8787096774193548,5.759397435808717,3.070555525334503
220,9.0,0.909032258064516,5.922244589415104,3.1099406532183007
221,9.0,0.9393548387096773,6.07963040767344,3.136220810668023
222,9.0,0.9696774193548385,6.231558493396715,3.235679955245901
223,9.0,1.0,6.378045552874052,3.182078225843442
224,9.5,0.06,0.08945793068429797,0.0920011322540218
225,9.5,0.09032258064516129,0.27158986162576637,0.26782648374855805
226,9.5,0.12064516129032257,0.4949244078148989,0.46642372018928346
227,9.5,0.15096774193548385,0.7366366022691251,0.7557043879056717
228,9.5,0.18129032258064515,0.9872344238985895,0.9628013559380492
229,9.5,0.21161290322580645,1.2421292745001344,1.1829361606507063
230,9.5,0.24193548387096772,1.4987848048166739,1.3725139977410148
231,9.5,0.272258064516129,1.7556347260847032,1.6181435417482535
232,9.5,0.3025806451612903,2.01161910700093,1.743585955275139
233,9.5,0.3329032258064516,2.265964927954383,1.932241860097249
234,9.5,0.3632258064516129,2.51807364931965,2.1157635685758565
235,9.5,0.39354838709677414,2.7674598160409567,2.27524571351
236,9.5,0.42387096774193544,3.01371575145786,2.293070643857289
